标准字段,中文字段别名,类型
hotel_id,酒店ID|酒店编号|门店ID,string
hotel_name,酒店名称|门店名称|酒店,string
platform,诊断渠道|渠道|平台|OTA渠道|channel|ota_channel,enum
channel_source,渠道来源|渠道名称|平台名称,string
data_date,日期|营业日期|业务日期|统计日期|data_date|biz_date|date,date
time_grain,时间粒度|统计粒度|数据粒度|time_grain,enum
period_start_field,开始日期|周期开始|统计开始日期|period_start_field,date
period_end_field,结束日期|周期结束|统计结束日期|period_end_field,date
revpar,RevPAR|revpar|平均可出租客房收入|每间可售房收入,number
adr,ADR|adr|平均房价|平均房费|销售均价|客单价,number
occupancy,出租率|入住率|过夜出租率|occupancy|occ,ratio
room_revenue,门店收入|房费收入|PMS房费收入|销售额|订单金额|客房收入|room_revenue|revenue|gmv,number
sold_room_nights,已售间夜|出租间夜|入住间夜|PMS已售间夜|售出间夜|间夜数|sold_room_nights|room_nights,number
available_room_nights,可售间夜|可售房晚|可售房量|客房数|available_room_nights|available_rooms,number
remaining_room_nights,剩余间夜|剩余房量|剩余可售房|remaining_room_nights|remaining_rooms,number
paid_orders,支付订单|支付订单数|成交订单|成交订单数|订单数|paid_orders|payment_orders|orders|order_count,number
peer_paid_orders,竞争圈支付订单|竞对支付订单|同行支付订单|竞争圈订单|竞对订单|peer_paid_orders|peer_orders|peer_avg_paid_orders,number
order_mom,订单环比|支付订单环比|订单增长率|paid_orders_mom|orders_mom|order_mom,ratio
room_revenue_target,收入目标|客房收入目标|revenue_target|room_revenue_target,number
revenue_mom,收入环比|客房收入环比|销售额环比|revenue_mom|room_revenue_mom,ratio
revenue_decline_months,收入连续下降月数|连续下降月数|revenue_decline_months|room_revenue_decline_months,number
season_or_market_explained,季节或商圈可解释|季节因素说明|商圈因素说明|season_or_market_explained,boolean
peer_revpar,竞争圈RevPAR|竞对RevPAR|同行RevPAR|peer_revpar|competitor_revpar|market_revpar,number
revpar_3m_avg,近3月RevPAR均值|RevPAR近3月均值|近三月RevPAR|revpar_3m_avg|last_3m_revpar_avg,number
peer_adr,竞争圈ADR|竞对ADR|同行ADR|peer_adr|competitor_adr|market_adr,number
lost_orders,流失订单数|流失订单|取消订单数|lost_orders,number
lost_amount,流失金额|流失损失|取消金额|lost_amount,number
ota_share,OTA占比|OTA间夜占比|OTA收入占比|ota_share|ota_occupancy_share|ota_room_night_share,ratio
ota_adr,OTA ADR|OTA平均房价|ota_adr|ota_avg_price,number
direct_adr,直销ADR|会员ADR|散客ADR|门市ADR|direct_adr|member_adr|walkin_adr,number
exposure,曝光|曝光量|列表曝光|展示次数|exposure,number
peer_exposure,竞争圈曝光|竞对曝光|同行曝光|竞争圈曝光量|peer_exposure|peer_avg_exposure|competitor_exposure,number
views,浏览|浏览量|详情浏览|访客数|UV|views,number
peer_views,竞争圈浏览|竞对浏览|同行浏览|竞争圈浏览量|peer_views|peer_avg_views|competitor_views,number
ad_exposure,广告曝光|付费曝光|推广曝光|ad_exposure|paid_exposure,number
organic_exposure,自然曝光|免费曝光|非广告曝光|organic_exposure|non_ad_exposure|free_exposure,number
ad_exposure_share,广告曝光占比|付费曝光占比|paid_exposure_share|ad_exposure_share,ratio
entry_coverage_rate,入口覆盖率|入口标签覆盖率|标签覆盖率|筛选入口覆盖率|entry_coverage_rate|poi_tag_coverage|tag_coverage|entry_tag_score,ratio
business_area_tag_status,商圈标签状态|商圈标签|business_area_tag_status,enum
poi_status,POI状态|POI标签|定位状态|poi_status,enum
facility_tag_status,设施标签状态|设施标签|facility_tag_status,enum
exposure_7d_trend,曝光7日趋势|曝光趋势|曝光环比|exposure_7d_trend|exposure_mom,ratio
views_7d_trend,浏览7日趋势|浏览趋势|浏览环比|views_7d_trend|views_mom,ratio
booking_conversion_rate,预订转化率|曝光-浏览转化|曝光浏览转化率|booking_conversion_rate,ratio
exposure_to_view_rate,曝光-浏览转化率|曝光浏览率|曝光到浏览率|exposure_to_view_rate,ratio
