field,value
表单ID,manual-20260610-001
酒店ID,puyue-esports
酒店名称,贵阳璞悦·奢电竞酒店
开始日期,2026-06-01
结束日期,2026-06-10
诊断渠道,fliggy
渠道来源,飞猪
渠道账号ID,hotel2024328481
竞争酒店,贵阳金关大酒店;贵阳苏豪酒店合群路喷水池店
经营目标,revenue
可用房数,31
可售间夜,310
PMS房费收入,28306.40
PMS已售间夜,201
主要房型,独享·电竞单人间;至臻·电竞大床房;至臻·电竞双床房;开黑·电竞双床房
图片质量评级,average
图片问题说明,首图和电竞设备细节需要补拍，房型差异表达不够清楚
视频状态,partial
房型卖点状态,partial
入口标签质量,partial
平台评分历史,飞猪 MCI 2.07，距离超越同行差 0.85 分
异常事件,端午节前库存波动;部分房型满房;推广数据点击/CPC未补齐
异常原因,当前仅完成飞猪后台读取，直通车明细和部分趋势数据需补采
已完成动作,已读取飞猪首页、经营数据、同行动态、客源分析、房价房量、推广评价
待完成动作,补采经营数据折线趋势;补采直通车曝光/点击/CPC;确认核心竞对价库
复盘原因,验证 S14 本地表格输入模式，生成可交付 HTML 报告
负责人,OTA运营
复盘日期,2026-06-17
OTA读取权限,true
报告发布权限,true
